id,key,mode,time_signature,danceability,energy,loudness,speechiness,acousticness,instumentalness,liveness,valence,tempo
3EQ9QP2E7wjYQba8OSPBst,1,1,4,0.678,0.76,-5.546,0.221,0.0557,0,0.359,0.24,96.044
45CCe4gu08OYG1I4MH8TU6,8,1,4,0.682,0.639,-4.406,0.292,0.0284,0,0.197,0.183,89.09
2tnlNVAhuQGgoFJxALVeXx,1,1,4,0.655,0.835,-3.451,0.059,0.0459,0,0.409,0.165,91.035
3DnZfpfe8wLeJgzc00gKeW,1,1,4,0.864,0.666,-5.525,0.234,0.0482,0,0.134,0.538,132.12
4iQ5gmTAzWfK8JyFC2LBox,11,0,4,0.511,0.718,-6.293,0.404,0.000322,0,0.111,0.267,166.42
6pUBrvKfJL4qmn95mxU7rC,2,1,4,0.603,0.67,-4.809,0.25,0.0871,0,0.326,0.159,89.842
6cPnE82DKBLd7sg02ZNg8K,10,0,4,0.766,0.703,-5.877,0.163,0.00807,0,0.0618,0.331,163.06
5DTOk0tCrmicVQP4mc6hkr,6,0,4,0.488,0.803,-4.165,0.205,0.0786,0,0.215,0.319,167.329
2IRZnDFmlqMuOrYOLnZZyc,4,0,4,0.889,0.496,-6.365,0.0905,0.259,0,0.252,0.544,86.003
1bx4Jw8A7GQtImIQGccI6D,8,1,4,0.49,0.651,-6.24,0.251,0.246,0,0.233,0.46,164.213
35J4wXQeRuHNOEArMy6FOe,10,0,4,0.821,0.72,-4.606,0.222,0.00902,7.07e-06,0.158,0.285,150.039
6irE4Fbjbry3czv7mTxVSB,0,1,4,0.657,0.711,-5.355,0.374,0.0135,0,0.221,0.368,86.957
0jqLv5PuEUA0GthFjdtlS1,4,0,4,0.609,0.836,-3.442,0.264,0.593,0,0.466,0.584,72.099
0UNeNA0dcfUMsGxvLwf2p3,9,1,4,0.821,0.694,-5.169,0.229,0.03,0,0.411,0.23,85.047
3gHLXLJ9JE1oOayo3ar4E5,4,0,4,0.481,0.483,-8.174,0.331,0.171,0,0.0964,0.453,79.012
4Kdu9AlfQyu0o6r2ozCMTc,0,1,4,0.756,0.814,-5.398,0.0416,0.00735,0,0.143,0.709,146.99
0UOF9AAyS8H9iCWmePj29w,1,1,4,0.703,0.701,-4.764,0.159,0.147,0,0.27,0.556,139.944
3lb5fWSG2p7x8ik8HN9oFR,0,1,4,0.734,0.493,-7.528,0.308,0.0467,0,0.0477,0.562,86.043
75ld9n7watXCD0nHnE931J,6,1,4,0.296,0.781,-7.148,0.451,0.0377,0,0.805,0.367,77.27
5A681EXUGZYiUCL3S4RDML,9,0,4,0.801,0.687,-5.412,0.0521,0.0253,0.644,0.114,0.502,121.008
4ulEYBkdzlWdoMH2uNkP1I,3,0,4,0.698,0.797,-5.125,0.0615,0.469,0.00118,0.152,0.53,101.969
4L3EyDVoMYcJUwFFAcnbvQ,1,1,4,0.654,0.894,-3.301,0.0552,0.0207,0,0.103,0.702,101.027
148PHifIfj7HESkf4HmYJG,9,0,4,0.641,0.791,-4.439,0.0587,0.0104,1.18e-06,0.171,0.301,128.018
1FseBXHmYLnX1XcGsQKH3j,10,1,4,0.572,0.386,-12.247,0.0276,0.44,0.0036,0.099,0.44,130.582
07vS8obfeZbr8H4MgQfXR7,7,1,4,0.373,0.123,-15.193,0.0407,0.948,0,0.0816,0.138,97.129
27xSaNgubCeJLl5Ymh54R6,1,1,4,0.804,0.5,-8.746,0.0429,0.319,0.0108,0.103,0.493,107.02
1tuaLgIQPnPmwOiniFGNK9,7,1,5,0.457,0.328,-12.395,0.0618,0.493,3.73e-06,0.102,0.106,113.158
6k2iq1yULhXILe0i8xQqPF,11,1,4,0.733,0.63,-4.296,0.395,0.13,0,0.162,0.832,149.989
4QIyEq7TcTdAcxjI2AFlAK,1,1,4,0.931,0.387,-9.127,0.412,0.088,0,0.136,0.376,125.978
4m5Cd9kAbIxg6t9sMrQWtk,6,0,4,0.82,0.691,-6.646,0.0723,0.0115,0,0.344,0.683,142.027
6Gy7rXB6Ku5vIWC7WGWsl3,1,0,4,0.745,0.715,-3.368,0.245,0.128,0,0.182,0.342,94.513
1oJ8EDr2pv94IvSd6ZmDgo,1,1,3,0.761,0.672,-5.887,0.212,0.0893,9.77e-06,0.14,0.437,160.077
6o79O9qBP3OAkWOXajAQIS,0,0,4,0.772,0.812,-3.995,0.153,0.0834,0,0.115,0.655,97.407
4KkUjFkcQvGvWekl8RATDn,0,1,4,0.635,0.902,-3.559,0.109,0.172,0,0.125,0.286,102.063
0LQ1J0BCzA2qnAgp9MkkNE,5,0,4,0.719,0.825,-3.627,0.0424,0.689,0,0.103,0.789,100.006
0EwS8XJQspgrj1zSUXhFkl,1,1,4,0.901,0.598,-6.934,0.17,0.0192,0,0.0791,0.355,117.9
26jYPsHHSOxCTz4cLt6SbQ,6,0,4,0.754,0.728,-7.61,0.0809,0.0412,0,0.106,0.594,140.007
6wJrqTE6c4NtfDqAcSRcBf,11,0,4,0.779,0.767,-5.462,0.258,0.00214,0,0.102,0.523,91.981
3jHsYztlhj1GunIF6yIePH,7,1,4,0.775,0.853,-5.867,0.298,0.0785,0,0.147,0.537,92.938
3uPuEFKEzGTn628CCQZUCF,5,0,4,0.72,0.628,-7.192,0.0718,0.0775,5.35e-06,0.0976,0.591,90.985
7dvM0LbJ4pu1tDJnCH1Ahg,5,1,4,0.416,0.129,-13.173,0.103,0.713,0,0.0918,0.278,138.404
4rmIfFUZhhi9sS5IYtpkXw,11,1,4,0.313,0.8,-5.011,0.0683,3.06e-05,0,0.497,0.871,183.047
33DzKnwuBE6lfOiADwzd5E,8,1,4,0.667,0.798,-5.935,0.0675,0.209,0.015,0.0972,0.485,114.981
1bTfkhyNrSmthxL7P5yGDJ,11,1,4,0.413,0.792,-7.951,0.261,0.778,0.292,0.0727,0.0386,138.228
6WmIyn2fx1PKQ0XDpYj4VR,4,1,4,0.472,0.751,-5.253,0.0374,0.0007,2.2e-05,0.0954,0.0736,180.089
18UsAG7SfOQ5sxJEdjAMH0,6,1,3,0.563,0.159,-14.415,0.0361,0.845,0.00017,0.0938,0.101,109.97
6HguG9HRb1Ke1bhihfE4m8,2,1,4,0.656,0.521,-5.274,0.0302,0.0509,4.85e-06,0.0791,0.476,91.031
1RHuBRoACkLRo2vjGqFCwf,3,1,4,0.439,0.683,-6.217,0.0418,0.0392,0,0.109,0.0725,137.901
48ndiF5dcv7WWm8KBcSm2X,0,1,4,0.437,0.376,-13.25,0.0869,0.936,0.0011,0.109,0.427,79.188
0bXxKkYJNxOqHjeOrYanvS,4,1,3,0.155,0.434,-9.074,0.0361,0.353,0.000589,0.145,0.275,85.973
3TgMcrV32NUKjEG2ujn9eh,1,1,4,0.618,0.824,-5.316,0.0301,0.000297,6.87e-05,0.0649,0.598,121.238
4EGVeQKn8WyzCmCx5YTIc4,6,1,4,0.427,0.284,-12.959,0.0309,0.809,0.00799,0.124,0.185,127.929
0cnVBn7JsFlShF65EJe2Or,4,1,4,0.393,0.226,-14.949,0.0373,0.889,0.00505,0.0792,0.136,75.427
2HwwGKPcI0rqnsFCqATXuj,3,1,4,0.555,0.428,-7.087,0.0286,0.424,3.35e-06,0.0981,0.199,121.188
7iPlcFvOMOzt6v0QvcAueZ,4,1,4,0.368,0.511,-5.477,0.0329,0.00499,0.000728,0.117,0.0504,149.243
3woRy7uxzl1lO2XO99oHsN,1,1,4,0.686,0.469,-9.065,0.291,0.612,0,0.121,0.156,72.998
2ySRRtrAwDUF4FipiF1Djt,0,1,4,0.89,0.426,-7.465,0.324,0.167,0,0.136,0.691,139.983
08ZCgkLKpcgrcSPCHN2v8J,2,0,4,0.534,0.899,-4.18,0.0509,0.00898,4.32e-05,0.4,0.432,108.033
