Alabama,1
Alaska,4
Arizona,2
Arkansas,1
California,2
Colorado,3
Connecticut,5
Delaware,3
Florida,2
Georgia,1
Hawaii,5
Idaho,3
Illinois,2
Indiana,3
Iowa,5
Kansas,5
Kentucky,1
Louisiana,1
Maine,3
Maryland,2
Massachusetts,5
Michigan,2
Minnesota,5
Mississippi,1
Missouri,2
Montana,3
Nebraska,5
Nevada,3
New Hampshire,3
New Jersey,2
New Mexico,1
New York,2
North Carolina,1
North Dakota,5
Ohio,2
Oklahoma,5
Oregon,5
Pennsylvania,2
Rhode Island,5
South Carolina,1
South Dakota,3
Tennessee,1
Texas,2
Utah,5
Vermont,3
Virginia,2
Washington,5
West Virginia,1
Wisconsin,5
Wyoming,3
